Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
198,2MASS J10224821+5825453 [de],53,27,1.41,1.41,3724.796217
199,2MASSW J1036530-344138 [de],34.4,49,0.97,0.97,14283.33395
200,2MASS J1047538+212423 [de],13.15,42,0.94,0.94,13036.78676
201,DEN 1048-3956,6.516,77,1.07,1.07,18445.91268
202,Luhman 16B,6.516,43,1.02,1.02,11335.61509
203,Luhman 16A,49,40,1.01,1.01,10754.59902
204,DENIS-P J1058.7−1548,180,64,1,1,17553.22633
205,TWA 28,163,36,2.39,2.39,1728.55689
206,Cha 110913-773444,554,8,1.8,1.8,677.2078061
207,OTS 44,63,15,,1.18,2954.63762
208,SDSS J111010.01+011613.1,18.2,9,1.24,1.24,1605.373604
209,2MASS J11145133−2618235,137,33,0.96,0.96,9820.83586
210,TWA 26,89,30,2.2,2.2,1700.015464
211,2MASSW J1146345+223053,129,30,,1.18,5909.27524
212,2MASS J11544223-3400390 [de],31,37,1.5,1.5,4510.203988
213,2MASSW J1155395-372735 [de],,64,1,1,17553.22633
214,TWA 27A,,30,,1.18,5909.27524
215,TWA 27B,217,30,,1.18,5909.27524
216,2MASS J12074836-3900043,36,17,1.71,1.71,1594.533615
217,2MASSI J1217110-031113 [de],43,42,0.94,0.94,13036.78676
218,2MASS J12255432-2739466,66,30,,1.18,5909.27524
219,DENIS-P J1228.2-1547,45.6,30,,1.18,5909.27524
220,2M 1237+6526,119,41,0.94,0.94,12726.38708
221,2MASSW J1239272+551537 [de],262,30,,1.18,5909.27524
222,TWA 29,38,2,25,25,0.877661317
223,SDSSp J125453.90-012247.4 [de],61,47,0.98,0.98,13422.16846
224,Kelu-1A,61,63,0.98,0.98,17991.4173
225,Kelu-1B,101,58,0.98,0.98,16563.52704
226,2MASS J13204427+0409045,65,67,1.01,1.01,18013.95336
227,SDSSp J132629.82-003831.5 [de],48,51,0.97,0.97,14866.32717
228,SDSSp J134646.45-003150.4 [de],51,44,0.94,0.94,13657.58613
229,2MASS J13595510-4034582,29.7,63,1,1,17278.95717
230,ULAS J141623.94+134836.3,149,32,0.96,0.96,9523.234773
231,SDSS J141659.78+500626.4 [de],38,59,0.99,0.99,16510.43825
232,DENIS-P J142527.97-365023.4 [de],38.5,21,1.32,1.32,3305.585624
233,LHS 2924,47,76,1.06,1.06,18551.49188
234,2MASS J14392837+1929150,72,72,1.03,1.03,18613.79925
235,LSPM J1440+1339,47,92,1.19,1.19,17818.48941
236,2MASS J14482563+1031590 [de],104,59,0.99,0.99,16510.43825
237,CFBDSIR 1458+10A,104,11.1,1.5,1.5,1353.061197
238,CFBDSIR 1458+10B,35.1,9,1.3,1.3,1460.605002
239,TVLM 513-46546,20.7,75,1.05,1.05,18657.76609
240,2MASS 1503+2525,71,44,0.94,0.94,13657.58613
241,CFBDS J150411+102717,46,44,0.94,0.94,13657.58613
242,2MASSW J1506544+132106 [de],23.9,69,1.02,1.02,18189.70794
243,2MASS 1507−1627,53,60,0.99,0.99,16790.27618
244,TVLM 868-110639,89,79,1.08,1.08,18576.18635
245,SDSS J151114.66+060742.9 [de],34,30,,1.18,5909.27524
246,2MASSW J1515008+484742 [de],67,57,0.99,0.99,15950.76237
247,2MASSI J1526140+204341 [de],51,54,0.98,0.98,15421.21483
248,DENIS-P J153941.96-052042.4 [de],37,63,1,1,17278.95717
249,2MASS J15462718-3325111 [de],68,44,0.94,0.94,13657.58613
250,2MASSW J1552591+294849 [de],44,30,1.43,1.43,4023.705239
251,2MASSW J1555157-095605 [de],48,71,1.03,1.03,18355.27426
252,2MASS J16150413+1340079 [de],36,42,0.94,0.94,13036.78676
253,SDSSp J162414.37+002915.6 [de],110,43,0.94,0.94,13347.18644
254,2MASS J16262034+3925190 [de],50,71,1.03,1.03,18355.27426
255,2MASSW J1632291+190441 [de],28,49,0.97,0.97,14283.33395
256,WISEPA J164715.59+563208.2,60,41,0.94,0.94,12726.38708
257,LSPM J1658+7027 [de],114,73,1.04,1.04,18511.13978
258,2MASSI J1726000+153819,79,24,1.4,1.4,3358.397895
259,2MASSW J1728114+394859,90,30,,1.18,5909.27524
260,SDSSp J175032.96+175903.9,39,47,0.97,0.97,13700.34073
261,2MASS J18283572-4849046,18.5,45,0.95,0.95,13675.47065
262,LSR J1835+3259,138,77,1.07,1.07,18445.91268
263,2MASSW J1841086+311727,46,67,1.01,1.01,18013.95336
264,2MASS J18432213+4040209,105,96,1.22,1.22,17690.02923
265,2MASS J20004841-7523070,65,25,1.88,1.88,1939.99803
266,SDSS J204749.61-071818.3,47,46,0.96,0.96,13689.64999
267,2MASSI J2057540-025230,108,70,1.02,1.02,18453.3269
268,2MASSW J2101154+175658,62,30,,1.18,5909.27524
269,2MASSI J2104149-103736,80,69,1.02,1.02,18189.70794
270,PSO J318.5−22,113,6.5,1.53,1.53,761.5658719
271,HB 2124-4228,32.1,94,1.21,1.21,17608.9756
272,2MASS J21392676+0220226,26.3,46,0.96,0.96,13689.64999
273,2MASS J21481628+4003593,,55,0.99,0.99,15391.0865
274,2MASS J14112131-2119503,93,30,,1.18,5909.27524
275,2MASSW J2206450-421721,154,22,1.33,1.33,3411.115129
276,2MASSW J2208136+292121,38,27,1.41,1.41,3724.796217
277,2MASSW J2224438-015852,35,61,0.99,0.99,17070.11412
278,2MASS J22282889-4310262,64,42,0.94,0.94,13036.78676
279,2MASS J22373255+3922398,56,73,1.04,1.04,18511.13978
280,2MASSW J2244316+204343,56,12,1.29,1.29,1977.783749
281,2MASS J23224684-3133231,148,24,1.39,1.39,3406.893988
282,2MASS J23225299-6151275,67,17,1.59,1.59,1844.300362
283,2MASS J23515044-2537367,74,88,1.16,1.16,17936.74659
284,2MASSI J2356547-155310,23.2,80,1.09,1.09,18467.74928
285,WISE 0005+3737,87.1,30,,1.18,5909.27524
286,WISE 0008-1739,48.6,30,,1.18,5909.27524
287,WISE 0015-4615,71.8,30,,1.18,5909.27524
288,WISE 0031-3840,62.9,30,,1.18,5909.27524
289,WISE 0032-4946,36.9,30,,1.18,5909.27524
290,WISE 0038+2758,101.8,30,,1.18,5909.27524
291,WISE 0038+8405,47.6,30,,1.18,5909.27524
292,WISE 0040+0900,62.6,30,,1.18,5909.27524
